source_name,local_path,bytes,sha256
image153.png,assets/second-edition-media/image153.png,25650,5c9f78770d16aea4ab7ac9ea7d2c52ee30f80ef6830c6ca6fa3df9b496222a94
image154.png,assets/second-edition-media/image154.png,2593,1edf87d9b71eafc0209d21f779844d01ee3894940b1edd3c364ec4fcf6bf7b94
image155.png,assets/second-edition-media/image155.png,4207,04f89bf93821a4dd2010e01eebf3ee76d801fd24c9b303018c94c0e99c849aee
image156.png,assets/second-edition-media/image156.png,7898,a36e199c73c846ce0fd106576c5ac72602bbec5775b7768f7f634cdb6962783f
image157.png,assets/second-edition-media/image157.png,4276,50ef8a6c17504880afc34dc2f16addb9ea48d208d4afab99881617772dc0316f
image158.png,assets/second-edition-media/image158.png,4248,23842f0b5966d6c4989057e9cb21ead907ff7f00264bdc57e50ff173cc9ca7e2
image159.png,assets/second-edition-media/image159.png,6577,bd9bf5a4015228d4be0592a4618476c2d5661c4331b31617b75be97429c5e706
image16.png,assets/second-edition-media/image16.png,3807,19bd511fdd685e921404d247de986b3c66c549267e9f1177de986761aec89f8f
image160.png,assets/second-edition-media/image160.png,17705,5f31b030c3cba400cca18438eb847caf789165b055627171eff4e343a7af9b4a
image161.png,assets/second-edition-media/image161.png,6418,65f69d114e03938da33ec6db9d8f3f04937c274c0ea0dfd5cf5b5f6b80875364
image162.png,assets/second-edition-media/image162.png,7753,ce4324b05e53f685b177958b8812a64a04c32766bc32f164bf4e6a42d6ad75d2
image163.png,assets/second-edition-media/image163.png,20827,705d94ad1c6d9d865e282a49cad93326bf7de88f8c3d55c99b08b9e2ff61e6eb
image164.png,assets/second-edition-media/image164.png,7222,c2a267766bcf01e9854c42fb5778790ad71c4c95a89f2eac6ec2696c49ea1836
image165.png,assets/second-edition-media/image165.png,3999,1162dbf15bec3c95acdd23d23cbf223f66bece4f2134f02057a611bc3d2a82ca
image166.png,assets/second-edition-media/image166.png,2792,539b83df349ca01a3836b4eb1043af32956c0d59064e420aae7e013c28536722
image167.png,assets/second-edition-media/image167.png,3040,70a76941f20b80c818afe9874123b9bae0bb43ff1dbd091b01feb69326a7708c
image168.png,assets/second-edition-media/image168.png,8769,d0b64cc3b6f567d9a6a35336a0dd74a14f83155a11bef6f22150ca57b3bfca92
image169.png,assets/second-edition-media/image169.png,11435,34dda1a894b9d209d3d9939f64edaad26a83bc0649466dad65a459c038a897d9
image17.png,assets/second-edition-media/image17.png,15651,12538f31dc133f1036af481e49afc0060e550e67140a3d524382beda85949d1a
image170.png,assets/second-edition-media/image170.png,4674,e25514744072104260e425bbe6b60faead6018652822fff4bff17eacd5bfa330
image171.png,assets/second-edition-media/image171.png,4110,51ce938d7942d4092fec3b9f29c48f85f5eced5aaf6dbb8b25dfc163f4233381
image172.jpeg,assets/second-edition-media/image172.jpeg,112385,86bb37ead82d921c623a8f94c492c9e4551759871d3dd9e110dc26b80e37cb6f
image173.png,assets/second-edition-media/image173.png,43270,ec7fb85e3318aab0981f573c13b64a90f3ba6316145fe73e589691d7cf2914ed
image174.png,assets/second-edition-media/image174.png,12042,c30a1cd187e709bdeb9e3dfcdfe5504a34fb0c1eaba166f31a969535b09b6a21
image175.png,assets/second-edition-media/image175.png,6246,0a351441afa28e387efbcedfed411f22f29c6d2441a3c046ff5618b2ee73affa
image176.png,assets/second-edition-media/image176.png,8192,3b6eb35f003139e91b05322480cbe22210a2afd01b68c28cfc8e3cea96b19923
image177.png,assets/second-edition-media/image177.png,7410,e0700fb519aaf2a1ed8c11e7fd883515494b62ed67ea5c249297f8b406edf6fc
image178.png,assets/second-edition-media/image178.png,8578,02a33324bc0c852b0c8bfff0d98993b1148f9d7a5e635644c8906501f365764d
image179.png,assets/second-edition-media/image179.png,4576,67dfb82b82960de30917898ba4cd1a7baff3961804a42f606d887ff45fb4acbe
image18.png,assets/second-edition-media/image18.png,25919,fa3b985cc1d7ba7990e7cbc5ebe5a5005a3596137b8f37b051072cf920beb34f
image180.png,assets/second-edition-media/image180.png,4140,29e33813442035b4e644489b0a0e38ccae172966788788d08e8abdd715f01431
image181.png,assets/second-edition-media/image181.png,12221,0fecf89868bfef91c45465d7e0d0f41f9e10ba01b35166956b477da39d676b59
image182.png,assets/second-edition-media/image182.png,13372,cdbd551a5765e1c5e650873cff743fbca6509ed5bd4fe477b98b0b54d9642b10
image183.png,assets/second-edition-media/image183.png,11880,fe88a36516c0e107496e6b4c2b06f6272a7c213235deb6b008a9eed58d899f79
image184.png,assets/second-edition-media/image184.png,9307,d129a43e7bd502afa90c8ce984bca3c0c930be19e1e7ebd470b5ac08634fa3c4
image185.png,assets/second-edition-media/image185.png,7511,a2f183d54d54515e0777f5f494c61d15723023294598735a2e45e6a961ee9102
image186.png,assets/second-edition-media/image186.png,6637,ffef964dc159ce5d8fb8ebdf7dcde4d9bbfd1888971f12c3ec9914469c634327
image187.png,assets/second-edition-media/image187.png,10465,14805b942573894a2aa913170afe520e665b17e770a8efb1dfaa012b1be740d4
image188.png,assets/second-edition-media/image188.png,10315,32c8572c7d9ce4773935d595a3c710ab7661ba3ab786ab8b4e5a39fa0d04a245
image189.png,assets/second-edition-media/image189.png,10395,92c23c92b30234d5900ff8c73f0c37634aaa87718a1249e99c8900e63493df6d
image19.png,assets/second-edition-media/image19.png,27274,3179e447aeecf3b740b945b0bda35ff57b39c3e55509613683928bda7923e033
image190.png,assets/second-edition-media/image190.png,22400,5e7966375b48657026b8e4f1b33b5c00a63cb2317babcc8cd6012abd128c71b6
image191.png,assets/second-edition-media/image191.png,3095,b478bca3604790d4ed16881c628ce7125d15a7fe9869f5d4bcc48d8cf77d8269
image192.png,assets/second-edition-media/image192.png,2516,53a9894b40adcaa5331c9b94c85d5afc856cfef393c15ea88d703278842c18ea
image193.png,assets/second-edition-media/image193.png,28578,d02d530d3dac6a272a667c77d7263a880cfdfd4b8ca6138c32890045fbbb10d5
image194.png,assets/second-edition-media/image194.png,27223,ce7afc92eb6f354058137d646aff0bce8b4031bc965e9029805ffa6866d9b293
image195.png,assets/second-edition-media/image195.png,8540,6a8820d121b01916a5e231ef7b4b069ac3e252edbbcfedc98bd8eaf8e674d170
